po_id,vendor_id,order_date,item_category,quantity,unit_price,po_amount,region,department
PO00364,V014,2025-06-20,Consulting,358,255.86,91597.88,North,Finance
PO00365,V002,2025-12-28,Consulting,319,519.12,165599.28,North,Operations
PO00366,V021,2025-02-28,IT Equipment,43,363.81,15643.83,West,Finance
PO00367,V012,2026-06-10,MRO Parts,415,401.2,166498.0,North,IT
PO00368,V001,2025-05-27,Raw Materials,439,333.6,146450.4,East,R&D
PO00369,V015,2025-02-05,IT Equipment,69,76.94,5308.86,West,R&D
PO00370,V021,2026-01-11,IT Equipment,190,226.86,43103.4,West,HR
PO00371,V002,2025-06-07,Consulting,352,258.71,91065.92,North,Operations
PO00372,V012,2026-03-31,MRO Parts,395,81.52,32200.4,North,IT
PO00373,V017,2026-01-11,MRO Parts,208,194.33,40420.64,East,Operations
PO00374,V008,2025-04-27,Packaging,18,394.45,7100.1,East,Finance
PO00375,V017,2026-02-01,MRO Parts,472,311.79,147164.88,East,Operations
PO00376,V025,2025-09-24,MRO Parts,365,256.98,93797.7,East,HR
PO00377,V010,2026-05-18,MRO Parts,107,103.25,11047.75,East,R&D
PO00378,V003,2026-04-08,Raw Materials,93,471.87,43883.91,South,Finance
PO00379,V003,2025-11-24,Raw Materials,346,210.03,72670.38,South,Manufacturing
PO00380,V018,2026-07-10,Packaging,153,468.38,71662.14,East,R&D
PO00381,V006,2025-06-28,Office Supplies,411,216.71,89067.81,East,IT
PO00382,V004,2025-07-25,Consulting,410,110.97,45497.7,West,R&D
PO00383,V016,2025-01-27,Consulting,189,308.16,58242.24,East,Operations
PO00384,V015,2026-07-19,IT Equipment,71,335.68,23833.28,West,Manufacturing
PO00385,V003,2025-11-13,Raw Materials,208,519.81,108120.48,South,Facilities
PO00386,V016,2026-06-23,Consulting,215,410.35,88225.25,East,R&D
PO00387,V019,2025-03-17,IT Equipment,69,506.88,34974.72,East,Facilities
PO00388,V003,2026-04-06,Raw Materials,243,368.05,89436.15,South,Operations
PO00389,V005,2026-07-19,MRO Parts,332,324.2,107634.4,North,R&D
PO00390,V005,2026-03-20,MRO Parts,262,477.59,125128.58,North,Manufacturing
PO00391,V004,2026-06-15,Consulting,83,189.46,15725.18,West,IT
PO00392,V011,2025-08-19,Raw Materials,182,495.05,90099.1,South,HR
PO00393,V010,2025-03-22,MRO Parts,133,138.24,18385.92,East,HR
PO00394,V009,2025-05-09,Packaging,325,188.84,61373.0,North,HR
PO00395,V003,2026-05-30,Raw Materials,333,125.1,41658.3,South,HR
PO00396,V005,2025-06-25,MRO Parts,342,341.63,116837.46,North,HR
PO00397,V011,2025-02-12,Raw Materials,427,455.3,194413.1,South,Manufacturing
PO00398,V002,2025-09-29,Consulting,338,145.13,49053.94,North,HR
PO00399,V014,2025-02-01,Consulting,259,467.27,121022.93,North,HR
PO00400,V010,2025-11-06,MRO Parts,252,161.32,40652.64,East,R&D
PO00401,V022,2026-02-20,Consulting,157,260.43,40887.51,South,Facilities
PO00402,V002,2025-06-11,Consulting,230,242.42,55756.6,North,Finance
PO00403,V007,2025-12-15,Raw Materials,315,113.24,35670.6,North,R&D
PO00404,V023,2025-11-23,Logistics,380,514.31,195437.8,West,Operations
PO00405,V013,2025-05-14,IT Equipment,394,221.01,87077.94,East,HR
PO00406,V004,2025-11-23,Consulting,128,266.57,34120.96,West,Operations
PO00407,V015,2025-09-11,IT Equipment,77,90.99,7006.23,West,Operations
PO00408,V013,2026-03-05,IT Equipment,132,502.28,66300.96,East,IT
PO00409,V011,2025-11-17,Raw Materials,102,407.48,41562.96,South,Finance
PO00410,V017,2026-04-24,MRO Parts,260,462.56,120265.6,East,Finance
PO00411,V001,2025-04-03,Raw Materials,488,231.79,113113.52,East,Finance
PO00412,V008,2025-08-09,Packaging,303,212.63,64426.89,East,Manufacturing
PO00413,V010,2026-05-22,MRO Parts,310,464.11,143874.1,East,Facilities
PO00414,V022,2026-04-27,Consulting,151,299.93,45289.43,South,R&D
PO00415,V004,2026-03-18,Consulting,73,464.17,33884.41,West,Facilities
PO00416,V012,2026-02-17,MRO Parts,192,66.49,12766.08,North,Manufacturing
PO00417,V019,2026-07-30,IT Equipment,104,217.2,22588.8,East,Operations
PO00418,V003,2026-01-31,Raw Materials,263,258.92,68095.96,South,HR
PO00419,V009,2025-05-02,Packaging,70,508.16,35571.2,North,Finance
PO00420,V012,2025-12-14,MRO Parts,290,491.0,142390.0,North,R&D
