invoice_id,po_id,vendor_id,invoice_date,invoice_amount,due_date,payment_date,payment_status
INV00331,PO00366,V021,2025-03-05,15643.83,2025-03-20,2025-03-22,Paid
INV00332,PO00367,V012,2026-06-16,166498.0,2026-07-31,2026-07-28,Paid
INV00333,PO00368,V001,2025-05-29,141819.93,2025-06-28,2025-07-07,Paid
INV00334,PO00369,V015,2025-02-11,5308.86,2025-03-28,2025-04-03,Paid
INV00335,PO00370,V021,2026-01-25,43103.4,2026-02-09,2026-02-11,Paid
INV00336,PO00371,V002,2025-06-09,91065.92,2025-08-08,2025-08-03,Paid
INV00337,PO00372,V012,2026-04-17,34428.25,2026-06-01,2026-05-30,Paid
INV00338,PO00373,V017,2026-01-23,40420.64,2026-03-09,2026-03-12,Paid
INV00339,PO00374,V008,2025-05-03,6471.24,2025-05-18,,Overdue
INV00340,PO00375,V017,2026-02-18,147164.88,2026-04-04,2026-04-01,Paid
INV00341,PO00376,V025,2025-10-10,93797.7,2025-11-24,2025-11-25,Paid
INV00342,PO00378,V003,2026-04-13,39735.93,2026-04-28,2026-04-24,Paid
INV00343,PO00379,V003,2025-11-26,72670.38,2025-12-11,2025-12-14,Paid
INV00344,PO00380,V018,2026-07-30,71662.14,2026-09-28,,Pending
INV00345,PO00381,V006,2025-06-29,82739.32,2025-07-29,2025-07-25,Paid
INV00346,PO00382,V004,2025-08-10,45497.7,2025-10-09,2025-10-04,Paid
INV00347,PO00383,V016,2025-01-31,58242.24,2025-02-15,2025-02-12,Paid
INV00348,PO00384,V015,2026-07-23,23833.28,2026-09-06,,Pending
INV00349,PO00385,V003,2025-11-17,108120.48,2025-12-02,2025-12-01,Paid
INV00350,PO00386,V016,2026-06-30,88225.25,2026-07-15,2026-07-12,Paid
INV00351,PO00388,V003,2026-04-13,89436.15,2026-04-28,2026-04-26,Paid
INV00352,PO00390,V005,2026-03-24,125128.58,2026-04-23,2026-04-20,Paid
INV00353,PO00391,V004,2026-07-02,16997.25,2026-08-31,,Pending
INV00354,PO00392,V011,2025-09-03,90099.1,2025-10-18,2025-10-20,Paid
INV00355,PO00394,V009,2025-05-11,61373.0,2025-05-26,2025-05-26,Paid
INV00356,PO00395,V003,2026-06-03,45388.84,2026-06-18,2026-06-15,Paid
INV00357,PO00396,V005,2025-07-01,116837.46,2025-07-31,2025-08-23,Paid
INV00358,PO00397,V011,2025-02-15,194413.1,2025-04-01,2025-03-28,Paid
INV00359,PO00398,V002,2025-10-14,49053.94,2025-12-13,2025-12-15,Paid
INV00360,PO00399,V014,2025-02-07,129983.77,2025-03-09,2025-03-06,Paid
INV00361,PO00400,V010,2025-11-25,40652.64,2025-12-25,2025-12-27,Paid
INV00362,PO00401,V022,2026-03-05,40887.51,2026-05-04,2026-05-01,Paid
INV00363,PO00402,V002,2025-06-27,55913.89,2025-08-26,2025-08-25,Paid
INV00364,PO00403,V007,2025-12-16,35670.6,2025-12-31,2025-12-29,Paid
INV00365,PO00404,V023,2025-12-04,195437.8,2026-02-02,2026-01-29,Paid
INV00366,PO00405,V013,2025-05-22,87077.94,2025-06-21,2025-06-22,Paid
INV00367,PO00406,V004,2025-12-11,34120.96,2026-02-09,2026-02-04,Paid
INV00368,PO00407,V015,2025-09-17,7006.23,2025-11-01,2025-11-03,Paid
INV00369,PO00408,V013,2026-03-08,66300.96,2026-04-07,2026-04-07,Paid
INV00370,PO00409,V011,2025-11-19,41562.96,2026-01-03,2026-01-04,Paid
INV00371,PO00410,V017,2026-05-02,121594.2,2026-06-16,2026-06-12,Paid
INV00372,PO00411,V001,2025-04-18,113113.52,2025-05-18,,Overdue
INV00373,PO00412,V008,2025-08-10,64625.62,2025-08-25,2025-08-20,Paid
INV00374,PO00413,V010,2026-06-11,143874.1,2026-07-11,2026-07-14,Paid
INV00375,PO00414,V022,2026-05-12,45289.43,2026-07-11,2026-07-06,Paid
INV00376,PO00415,V004,2026-04-02,33884.41,2026-06-01,2026-06-24,Paid
INV00377,PO00416,V012,2026-03-01,12766.08,2026-04-15,2026-04-13,Paid
INV00378,PO00418,V003,2026-02-10,68095.96,2026-02-25,2026-02-21,Paid
INV00379,PO00420,V012,2025-12-19,142390.0,2026-02-02,2026-02-03,Paid
